phi(digree),phi(radians),u,M
86.44322161,1.508718833,-0.0162207,487.099605
86.48824412,1.509504624,-0.016223961,487.1628001
86.53326663,1.510290415,-0.016227185,487.2244698
86.57828914,1.511076206,-0.01623037,487.2846122
86.62331166,1.511861997,-0.016233518,487.3432259
86.66833417,1.512647788,-0.016236629,487.4003091
86.71335668,1.513433579,-0.016239701,487.4558602
86.75837919,1.514219371,-0.016242736,487.5098776
86.8034017,1.515005162,-0.016245733,487.5623597
86.84842421,1.515790953,-0.016248693,487.6133047
86.89344672,1.516576744,-0.016251614,487.662711
86.93846923,1.517362535,-0.016254498,487.7105771
86.98349175,1.518148326,-0.016257344,487.7569012
87.02851426,1.518934117,-0.016260152,487.8016817
87.07353677,1.519719908,-0.016262923,487.844917
87.11855928,1.520505699,-0.016265656,487.8866054
87.16358179,1.52129149,-0.01626835,487.9267453
87.2086043,1.522077281,-0.016271007,487.965335
87.25362681,1.522863072,-0.016273627,488.002373
87.29864932,1.523648863,-0.016276208,488.0378575
87.34367184,1.524434654,-0.016278752,488.0717869
87.38869435,1.525220445,-0.016281257,488.1041596
87.43371686,1.526006236,-0.016283725,488.1349739
87.47873937,1.526792027,-0.016286155,488.1642282
87.52376188,1.527577819,-0.016288547,488.1919209
87.56878439,1.52836361,-0.016290902,488.2180502
87.6138069,1.529149401,-0.016293218,488.2426146
87.65882941,1.529935192,-0.016295497,488.2656124
87.70385193,1.530720983,-0.016297737,488.287042
87.74887444,1.531506774,-0.01629994,488.3069018
87.79389695,1.532292565,-0.016302105,488.32519
87.83891946,1.533078356,-0.016304232,488.341905
87.88394197,1.533864147,-0.016306321,488.3570453
87.92896448,1.534649938,-0.016308372,488.3706091
87.97398699,1.535435729,-0.016310386,488.3825948
88.0190095,1.53622152,-0.016312361,488.3930009
88.06403202,1.537007311,-0.016314299,488.4018255
88.10905453,1.537793102,-0.016316198,488.4090671
88.15407704,1.538578893,-0.01631806,488.4147241
88.19909955,1.539364684,-0.016319884,488.4187948
88.24412206,1.540150475,-0.01632167,488.4212775
88.28914457,1.540936267,-0.016323417,488.4221707
88.33416708,1.541722058,-0.016325127,488.4214726
88.37918959,1.542507849,-0.016326799,488.4191817
88.42421211,1.54329364,-0.016328433,488.4152962
88.46923462,1.544079431,-0.01633003,488.4098146
88.51425713,1.544865222,-0.016331588,488.4027352
88.55927964,1.545651013,-0.016333108,488.3940564
88.60430215,1.546436804,-0.01633459,488.3837765
88.64932466,1.547222595,-0.016336035,488.3718938
88.69434717,1.548008386,-0.016337441,488.3584068
88.73936968,1.548794177,-0.016338809,488.3433138
88.7843922,1.549579968,-0.01634014,488.3266131
88.82941471,1.550365759,-0.016341432,488.3083032
88.87443722,1.55115155,-0.016342687,488.2883823
88.91945973,1.551937341,-0.016343903,488.2668488
88.96448224,1.552723132,-0.016345081,488.2437011
89.00950475,1.553508923,-0.016346222,488.2189375
89.05452726,1.554294715,-0.016347325,488.1925564
89.09954977,1.555080506,-0.016348389,488.1645562
89.14457229,1.555866297,-0.016349416,488.1349352
89.1895948,1.556652088,-0.016350404,488.1036917
89.23461731,1.557437879,-0.016351355,488.0708242
89.27963982,1.55822367,-0.016352267,488.0363309
89.32466233,1.559009461,-0.016353142,488.0002103
89.36968484,1.559795252,-0.016353978,487.9624606
89.41470735,1.560581043,-0.016354777,487.9230803
89.45972986,1.561366834,-0.016355538,487.8820678
89.50475238,1.562152625,-0.01635626,487.8394212
89.54977489,1.562938416,-0.016356945,487.7951391
89.5947974,1.563724207,-0.016357591,487.7492198
89.63981991,1.564509998,-0.0163582,487.7016617
89.68484242,1.565295789,-0.01635877,487.652463
89.72986493,1.56608158,-0.016359303,487.6016221
89.77488744,1.566867372,-0.016359797,487.5491375
89.81990995,1.567653163,-0.016360254,487.4950074
89.86493247,1.568438954,-0.016360673,487.4392303
89.90995498,1.569224745,-0.016361053,487.3818044
89.95497749,1.570010536,-0.016361396,487.3227282
90,1.570796327,-0.0163617,487.262
